City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
459,Puerto Cabezas,NI,73.29,broken clouds,14.0351,-83.3888,Hotel Caribe
461,Ambanja,MG,76.93,light rain,-13.6833,48.45,Hôtel Salama Rose
481,Bengkulu,ID,82.65,overcast clouds,-3.8004,102.2655,Dena Hotel
499,General Pico,AR,74.73,scattered clouds,-35.6566,-63.7568,Euskadi Hotel
502,Varadero,CU,74.03,light rain,23.1536,-81.2514,Hotel Cuatro Palmas
503,Tucuman,AR,71.6,clear sky,-26.8241,-65.2226,Suites San Luis
504,General Roca,AR,90.63,broken clouds,-39.0333,-67.5833,Hotel Austral
508,Humaita,BR,72.45,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
511,Sakaraha,MG,77.0,broken clouds,-22.9,44.5333,Palace Club
513,Sao Joao Da Barra,BR,70.0,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
515,Puerto Leguizamo,CO,70.39,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
522,Manta,EC,76.78,scattered clouds,-0.95,-80.7333,La Gaviota
523,Sassandra,CI,75.78,scattered clouds,4.95,-6.0833,Hotel Le Pollet
528,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Hotel le Paradis
535,Villa Bruzual,VE,73.06,broken clouds,9.3328,-69.1208,Hotel Turístico Sol de Arichuna
538,Batticaloa,LK,79.32,broken clouds,7.7102,81.6924,Lake View Hotel
547,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
563,Port-Gentil,GA,77.92,overcast clouds,-0.7193,8.7815,Tara-Mé
571,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,losmen Surya
572,Sambava,MG,78.62,light rain,-14.2667,50.1667,Royal Sava Hôtel
574,Veraval,IN,77.99,clear sky,20.9,70.3667,Shyam
588,Farafangana,MG,79.74,light rain,-22.8167,47.8333,Le Concombre Masqué
590,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Tropic Hotel
594,Sur,OM,72.77,clear sky,22.5667,59.5289,Sur Hotel
595,Saint-Leu,RE,83.26,clear sky,-21.15,55.2833,Iloha Seaview Hôtel
596,Sao Felix Do Xingu,BR,70.23,overcast clouds,-6.6447,-51.995,Hotel Terraço
598,Lethem,GY,75.27,scattered clouds,3.3803,-59.7968,Hotel Amazonas
600,New Amsterdam,GY,72.5,broken clouds,6.25,-57.5167,Church View Hotel
603,Coxim,BR,72.1,overcast clouds,-18.5067,-54.76,Avendita
604,Khandbari,NP,70.09,clear sky,27.3747,87.2039,Guesthouse
611,Pontes E Lacerda,BR,71.42,broken clouds,-15.2261,-59.3353,Hotel Avenida
620,Santa Rosa,PH,86.09,broken clouds,14.3122,121.1114,JARS RESORT
622,Pedasi,PA,77.52,scattered clouds,7.5333,-80.0333,Dim's Hostal
629,Soyo,AO,76.3,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
639,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue
641,George Town,MY,84.13,scattered clouds,5.4112,100.3354,Page 63 hostel
643,Isla Mujeres,MX,75.16,clear sky,21.2311,-86.731,Villa La Bella
650,Tucupita,VE,70.84,overcast clouds,9.0622,-62.051,Hotel salma suit
653,Chone,EC,73.45,overcast clouds,-0.6833,-80.1,Atahualpa de oro
655,Alibag,IN,82.47,clear sky,18.6411,72.8792,Hira Laxmi Residency
658,Dunmore Town,BS,75.47,clear sky,25.5,-76.65,The Landing Hotel & Restaurant
667,Meulaboh,ID,82.89,overcast clouds,4.1363,96.1285,Hotel Meuligou
679,Cobija,BO,77.29,overcast clouds,-11.0267,-68.7692,Hotel El Cristo
681,Santa Marta,CO,81.9,few clouds,11.2408,-74.199,Casa Mita
683,Rawson,AR,80.49,broken clouds,-43.3002,-65.1023,Hotel Deportivo
