City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
564,Hella,NO,67.2,14.4333,33.94,60,0,32.21,clear sky
565,Pangoa,PE,-12.1167,-73.0,68.07,87,64,2.64,broken clouds
566,Sept-Iles,CA,50.2001,-66.3821,17.06,77,100,8.05,overcast clouds
567,Zambezi,ZM,-13.5432,23.1047,63.88,95,100,5.39,overcast clouds
568,Ittiri,IT,40.5929,8.5684,54.5,94,100,12.17,moderate rain
569,Wawa,NG,9.9022,4.4192,69.46,28,99,4.07,overcast clouds
570,Yuksekova,TR,37.5736,44.2872,24.55,93,75,5.75,mist
571,Padang,ID,-0.9492,100.3543,84.25,66,98,5.08,overcast clouds
572,Sambava,MG,-14.2667,50.1667,78.62,82,22,5.73,light rain
573,Villazon,BO,-22.0866,-65.5942,46.29,80,79,8.77,broken clouds
574,Veraval,IN,20.9,70.3667,77.99,47,0,9.35,clear sky
575,Nagda,IN,23.45,75.4167,67.98,20,0,4.99,clear sky
576,Kotelnikovo,RU,47.6317,43.1461,7.86,89,14,3.27,few clouds
577,Mitu,CO,1.1983,-70.1733,67.84,99,56,1.32,broken clouds
578,Cassilandia,BR,-19.1133,-51.7342,68.97,95,100,1.39,overcast clouds
579,Bereda,ES,43.2686,-7.5406,43.57,100,54,3.18,broken clouds
580,Dno,RU,57.8277,29.9637,17.08,86,97,11.18,overcast clouds
581,Bad Wildungen,DE,51.1196,9.1248,44.91,81,75,5.75,broken clouds
582,Moisakula,EE,58.0922,25.1864,24.96,92,100,12.44,snow
583,Umm Kaddadah,SD,13.6017,26.6876,58.21,27,98,14.74,overcast clouds
584,Pauini,BR,-7.7136,-66.9764,72.34,98,100,4.45,overcast clouds
585,Shahr-E Babak,IR,30.1165,55.1186,37.76,62,1,10.07,clear sky
586,Erding,DE,48.306,11.9069,44.24,94,0,2.3,clear sky
587,Turukhansk,RU,65.8167,87.9833,-27.36,89,83,7.45,broken clouds
588,Farafangana,MG,-22.8167,47.8333,79.74,81,67,11.05,light rain
